,Symbol,Name,Market sector,Market segment,Profit - pre tax (m),Profit - retained (m),Turnover (m),Attributable Profit,Market segment
66,"AEFS","Alcentra European Floating Rate Income Fund Limited",SSC6,SSMM,"-19.62","-25.22",0.05,"-19.62",
67,"AEG","Active Energy Group Plc",AMQ1,ASQ1,"-3.67","-4.35",,"-4.35",
68,"AEI","Abrdn Equity Income Trust Plc",SSC6,SSMM,9.82,"-0.26",,9.69,
69,"AEO","Aeorema Communications Plc",AIMP,ASX1,"-0.16","-0.16",5.09,"-0.16",
70,"AEP","Anglo-eastern Plantations Plc",SSC5,SSMM,101.37,50.54,320.50,50.54,
71,"AERI","Aquila European Renewables Plc",ON15,SET3,101.37,50.54,320.50,50.54,
72,"AERS","Aquila European Renewables Plc",ON15,SET3,6.22,6.22,,6.22,
73,"AET","Afentra Plc",ASM6,AMSM,"-3.69","-3.70",,"-3.70",
74,"AEWL","Aew Uk Long Lease Reit Plc",SQQ3,SSQ3,4.23,"-0.08",6.91,4.23,
75,"AEWU","Aew Uk Reit Plc",SSC6,SSMM,22.17,9.48,17.49,22.17,
76,"AEX","Aminex Plc",SQS3,SSQ3,"-6.33","-6.33",0.11,"-6.33",
77,"AFC","Afc Energy Plc",ASM6,AMSM,"-10.44","-9.38",0.59,"-9.38",
78,"AFHP","Afh Financial Group Plc",AMQ1,ASQ1,13.16,7.99,77.13,10.71,
79,"AFM","Alpha Financial Markets Consulting Plc",AMQ1,ASQ1,14.88,3.01,158.00,11.69,
80,"AFMC","Aberdeen Frontier Markets Investment Company Limited",AIMP,ASX1,0.92,"-0.36",1.58,0.78,
81,"AFN","Advfn Plc",AIMP,ASX1,1.61,1.23,9.06,1.62,
82,"AFP","African Pioneer Plc",SQS3,SSQ3,0.40,0.43,0.77,0.43,
83,"AFRN","Aferian Plc",AMQ1,ASQ1,5.26,6.04,92.89,6.04,
84,"AFS","Amiad Water Systems Ltd",AIMP,ASX1,3.03,1.90,76.51,1.90,
85,"AFX","Alpha Fx Group Plc",AMQ1,ASQ1,33.18,23.53,77.47,23.53,
86,"AGFX","Argentex Group Plc",ASM6,AMSM,10.00,4.30,34.50,7.40,
87,"AGK","Aggreko Plc",ON5,SET3,199.00,60.00,1613.00,129.00,
88,"AGL","Angle Plc",AIMP,ASX1,"-17.36","-15.19",1.01,"-15.19",
89,"AGM","Applied Graphene Materials Plc",AMQ1,ASQ1,"-3.56","-3.17",0.12,"-3.17",
90,"AGOL","Ashmore Global Opportunities Limited",ON15,SET3,"-4.98","-4.98",,"-4.98",
91,"AGR","Assura Plc",F25F,STMM,155.80,80.50,136.90,155.90,
92,"AGT","Avi Global Trust Plc",F25F,STMM,15.55,"-3.02",20.38,14.29,
