,Symbol,Name,Market sector,Market segment,Profit - pre tax (m),Profit - retained (m),Turnover (m),Attributable Profit,Market segment
622,"DDV1","Downing One Vct Plc",SQQ3,SSQ3,2.83,"-1.23",4.58,2.53,
623,"DEC","Diversified Energy Company Plc",F25T,STMM,"-407.38","-337.01",745.06,"-240.71",
624,"DELT","Deltic Energy Plc",AMQ1,ASQ1,"-1.94","-1.94",,"-1.94",
625,"DEMG","Deltex Medical Group Plc",AIMP,ASX1,"-0.98","-0.97",2.26,"-0.97",
626,"DEST","Destiny Pharma Plc",AMQ1,ASQ1,"-6.27","-6.27",,"-6.27",
627,"DEV","Dev Clever Holdings Plc",SQS3,SSQ3,"-2.54","-2.53",7.36,"-2.53",
628,"DEVC","Draper Esprit Vct Plc",SQQ3,SSQ3,0.01,"-2.40",0.58,0.01,
629,"DEVO","Devolver Digital Inc.",AMSR,ASX1,57.06,47.40,157.31,47.40,
630,"DFCH","Distribution Finance Capital Holdings Plc",AMQ1,ASQ1,"-3.73","-3.68",13.26,"-3.68",
631,"DFS","Dfs Furniture Plc",SSC5,SSMM,99.20,88.70,1368.70,88.70,
632,"DFX","Defenx Plc",AMQ1,ASQ1,"-3.41","-3.35",1.28,"-3.35",
633,"DGE","Diageo Plc",FE10,SET1,4387.00,1531.00,22448.00,3249.00,
634,"DGI","Dg Innovate Plc",SQS3,SSQ3,4387.00,1531.00,22448.00,3249.00,
635,"DGI9","Digital 9 Infrastructure Plc",F25F,STMM,"-0.29","-18.13",2.94,"-0.29",
636,"DGN","Asia Dragon Trust Plc",SSC5,SSMM,10.59,3.27,,9.24,
637,"DIA","Dialight Plc",ON15,SET3,"-10.10","-7.90",119.00,"-7.90",
638,"DIG","Dunedin Income Growth Investment Trust Plc",SSC6,SSMM,19.34,0.12,21.52,19.07,
639,"DIGS","Gcp Student Living Plc",ON10,SET3,114.73,105.35,36.29,114.73,
640,"DIS","Distil Plc",AIMP,ASX1,"-0.10",0.17,2.94,0.17,
641,"DISH","Amala Foods Plc",SQS3,SSQ3,"-4.13","-1.46",0.03,"-1.46",
642,"DIVI","Diverse Income Trust (the) Plc",SSC6,SSMM,14.76,0.76,16.51,14.50,
643,"DJAN","Daejan Holdings Plc",OL5,SET3,137.83,103.11,,119.89,
644,"DKE","Dukemount Capital Plc",SQS3,SSQ3,"-0.33","-0.33",2.39,"-0.33",
645,"DKL","Dekel Agri-vision Plc",AMQ1,ASQ1,0.77,0.64,31.44,0.64,
646,"DLAR","De La Rue Plc",SSC5,SSMM,24.20,21.50,375.10,21.50,
647,"DLG","Direct Line Insurance Group Plc",F25F,STMM,446.00,42.90,3247.70,343.70,
648,"DLN","Derwent London Plc",F25F,STMM,252.50,168.00,240.20,252.30,
649,"DMGT","Daily Mail & General Trust Plc",SMEU,SSMU,"-2.40",1487.30,885.30,1542.30,
650,"DMTR","Deepmatter Group Plc",AIMP,ASX1,"-3.27","-3.03",1.01,"-3.03",
651,"DNA","Doric Nimrod Air One Limited",SFQQ,SFM2,"-13.75","-17.57",,"-13.75",
652,"DNA2","Doric Nimrod Air Two Limited",SFQQ,SFM2,"-4.00","-35.06",,"-3.97",
653,"DNA3","Doric Nimrod 3",SFQQ,SFM2,"-53.54","-71.69",,"-53.54",
654,"DNE","Dunedin Enterprise Investment Trust Plc",ON15,SET3,4.38,1.39,4.80,4.65,
655,"DNK","Danakali Limited",SQSL,SSX3,"-5.45","-5.45",0.14,"-5.45",
656,"DNL","Diurnal Group Plc",AMQ1,ASQ1,"-11.54","-10.05",4.37,"-10.05",
657,"DNLM","Dunelm Group Plc",F25F,STMM,157.80,104.60,1336.20,128.90,
658,"DNM","Dianomi Plc",AMQ1,ASQ1,"-0.62","-0.50",35.78,"-0.50",
659,"DO1D","Thames Ventures Vct 2 Plc",SQNC,SSX3,"-0.62","-0.50",35.78,"-0.50",
660,"DOCS","Dr. Martens Plc",F25T,STMM,214.30,169.00,908.30,181.20,
661,"DOM","Domino\'s Pizza Group Plc",F25F,STMM,109.70,22.30,560.80,78.30,
662,"DORE","Downing Renewables & Infrastructure Trust Plc",SSC6,SSMM,2.80,"-0.14",4.98,2.80,
663,"DOTD","Dotdigital Group Plc",AS50,AMSM,12.81,8.12,58.12,10.59,
664,"DP2F","Downing Two Vct Plc",SQQ3,SSQ3,12.81,8.12,58.12,10.59,
665,"DP2G","Downing Two Vct Plc",SQQ3,SSQ3,12.81,8.12,58.12,10.59,
666,"DP2K","Downing Two Vct Plc",SQQ3,SSQ3,12.81,8.12,58.12,10.59,
667,"DP3F","Downing Three Vct Plc",SQQ3,SSQ3,12.81,8.12,58.12,10.59,
668,"DP3H","Downing Three Vct Plc",SQQ3,SSQ3,12.81,8.12,58.12,10.59,
669,"DP3J","Downing Three Vct Plc",SQQ3,SSQ3,12.81,8.12,58.12,10.59,
670,"DPEU","Dp Eurasia N.v.",ON15,SET3,1.82,"-0.89",83.18,"-0.89",
671,"DPH","Dechra Pharmaceuticals Plc",F25F,STMM,74.00,17.60,608.00,55.50,
672,"DPLM","Diploma Plc",F25F,STMM,96.60,16.90,787.40,69.80,
673,"DPP","Dp Poland Plc",AMQ1,ASQ1,"-4.30","-4.36",29.87,"-4.36",
674,"DRIP","Drum Income Plus Reit Plc",SQQ3,SSQ3,2.09,0.95,4.14,2.09,
675,"DRUM","Drumz Plc",AIMP,ASX1,"-0.42","-0.42",0.04,"-0.42",
676,"DRV","Driver Group Plc",AIMP,ASX1,1.86,1.11,48.77,1.11,
677,"DRX","Drax Group Plc",F25F,STMM,196.50,8.80,5173.90,79.70,
678,"DSCV","Discoverie Group Plc",F25T,STMM,17.10,15.80,379.20,25.20,
679,"DSG","Dillistone Group Plc",AMQ1,ASQ1,"-0.30",0.00,5.60,0.00,
680,"DSI","Dial Square Investments Plc",SQS3,SSQ3,"-0.30",0.00,5.60,0.00,
681,"DSM","Downing Strategic Micro-cap Investment Trust Plc",SQQ3,SSQ3,0.21,"-0.20",0.70,0.21,
682,"DSW","Dsw Capital Plc",AMQ1,ASQ1,"-0.03","-0.71",2.68,"-0.33",
683,"DTG","Dart Group Plc",AS50,AMSM,147.70,100.50,3584.70,116.00,
684,"DTY","Dignity Plc",SSC5,SSMM,32.00,12.10,353.70,12.10,
685,"DUKE","Duke Royalty Limited",AMQ1,ASQ1,16.06,13.95,,13.95,
686,"DUPD","Dragon-ukrainian Properties & Development Plc",AM25,AMSM,2.49,2.49,,2.49,
687,"DVNO","Develop North Plc",SQQ3,SSQ3,0.83,"-0.11",1.64,0.83,
688,"DVO","Devro Plc",SSC5,SSMM,37.60,16.10,252.40,31.10,
689,"DVRG","Deepverge Plc",AMQ1,ASQ1,"-3.68","-2.68",9.30,"-2.68",
690,"DVT","Davictus Plc",SQS3,SSQ3,"-0.24","-0.24",,"-0.24",
691,"DWF","Dwf Group Plc",SSC5,SSMM,22.32,6.75,416.05,20.29,
692,"DWHA","Dewhurst Group Plc",AIMP,ASX1,3.39,1.82,29.77,2.31,
693,"DWHT","Dewhurst Group Plc",AIMP,ASX1,9.56,5.67,56.25,7.03,
694,"DX.","Dx (group) Plc",AMQ1,ASQ1,10.60,15.40,382.10,15.40,
695,"DXRX","Diaceutics Plc",AMQ1,ASQ1,0.46,0.56,13.94,0.56,
696,"EAAS","Eenergy Group Plc",AMQ1,ASQ1,"-0.18",0.03,13.60,0.03,
697,"EAH","Eco Animal Health Group Plc",AIMP,ASX1,20.28,7.60,105.61,8.16,
698,"EAI","Entertainment Ai Plc",AMQ1,ASQ1,"-1.35","-1.31",3.23,"-1.31",
699,"EAT","European Assets Trust Plc",SSC5,SSMM,5.37,"-19.64",6.86,4.58,
700,"EBOX","Tritax Eurobox Plc",F25T,STMM,110.86,68.29,44.23,90.03,
701,"EBQ","Ebiquity Plc",AIMP,ASX1,"-5.71","-7.03",63.09,"-7.03",
702,"ECEL","Eurocell Plc",SQQ3,SSQ3,27.00,21.10,343.10,21.10,
703,"ECHO","Echo Energy Plc",AMQ1,ASQ1,"-15.27","-27.03",11.13,"-27.03",
704,"ECK","Eckoh Plc",AMQ1,ASQ1,2.32,0.02,31.78,1.57,
705,"ECO","Eco (atlantic) Oil & Gas Ltd",AMQ1,ASQ1,"-6.56","-6.56",0.00,"-6.56",
706,"ECOR","Ecora Resources Plc",SMEV,SSMU,"-6.56","-6.56",0.00,"-6.56",
707,"ECR","Ecr Minerals Plc",AIMP,ASX1,"-1.47","-1.47",,"-1.47",
708,"ECSC","Ecsc Group Plc",AMQ1,ASQ1,"-0.52","-0.53",6.14,"-0.53",
709,"EDEN","Eden Research Plc",AMQ1,ASQ1,"-3.40","-2.78",1.23,"-2.78",
710,"EDGH","Edge Performance Vct Plc",SQQ3,SSQ3,"-3.40","-2.78",1.23,"-2.78",
711,"EDGI","Edge Performance Vct Plc",SQQ3,SSQ3,"-3.40","-2.78",1.23,"-2.78",
712,"EDIN","Edinburgh Investment Trust Plc",F25F,STMM,39.23,"-10.75",44.21,38.57,
713,"EDL","Edenville Energy Plc",AMQ1,ASQ1,"-1.46","-1.37",0.11,"-1.37",
714,"EDR","Egdon Resources Plc",AMQ1,ASQ1,"-1.68","-1.68",1.09,"-1.68",
715,"EDV","Endeavour Mining Plc",FS10,SET1,"-1.68","-1.68",1.09,"-1.68",
716,"EEE","Empire Metals Limited",AMQ1,ASQ1,"-2.33","-0.59",,"-0.59",
717,"EFM","Edinburgh Dragon Trust Plc",SSC5,SSMM,8.47,"-0.02",,7.42,
718,"EGL","Ecofin Global Utilities And Infrastructure Trust Plc",SSC5,SSMM,6.72,"-0.61",8.48,5.92,
719,"EGY","Vaalco Energy Inc.",SQS3,SSQ3,44.20,60.52,147.21,60.52,
720,"EHG","Elegant Hotels Group Plc",AMQ1,ASQ1,8.14,4.44,48.22,7.29,
721,"EIG","Ei Group Plc",ON10,SET3,"-199.00","-209.00",724.00,"-209.00",
722,"EISB","East Imperial Plc",SQS3,SSQ3,"-5.37","-5.23",2.78,"-5.23",
723,"EJF0","Ejf Inv. Zdp 25",SFQQ,SFM2,"-5.37","-5.23",2.78,"-5.23",
724,"EJFI","Ejf Investments Ltd",SFQQ,SFM2,"-8.79","-15.41",,"-8.79",
725,"EJFZ","Ejf Invests Zdp",SFQQ,SFM2,"-8.79","-15.41",,"-8.79",
726,"EKF","Ekf Diagnostics Holdings Plc",ASM6,AMSM,21.43,15.85,81.84,15.85,
727,"ELA","Eland Oil & Gas Plc",ASM7,AMSM,60.81,47.72,132.65,47.72,
728,"ELCO","Eleco Public Limited Company",AIMP,ASX1,3.93,2.73,27.34,2.73,
729,"ELEG","Electric Guitar Plc",SQS3,SSQ3,3.93,2.73,27.34,2.73,
730,"ELIX","Elixirr International Plc",AMQ1,ASQ1,12.17,9.13,50.61,10.14,
731,"ELLA","Ecclesiastl.8fe",SQS3,SSQ3,12.17,9.13,50.61,10.14,
732,"ELM","Elementis Plc",F25T,STMM,4.29,1.85,650.81,1.85,
733,"ELX","El Oro Ltd",SQNL,SSX3,"-1.62","-3.12",1.36,"-1.60",
734,"EMAN","Everyman Media Group Plc",AMQ1,ASQ1,"-5.42","-5.36",49.03,"-5.36",
735,"EME","Empyrean Energy Plc",AM25,AMSM,"-0.69","-0.69",,"-0.69",
736,"EMG","Man Group Plc",F25F,STMM,436.29,241.81,1095.16,360.12,
737,"EMH","European Metals Holdings Limited",AMQ1,ASQ1,"-2.86","-2.86",0.80,"-2.86",
738,"EMIS","Emis Group Plc",AE50,AMSM,36.09,7.88,168.23,29.02,
739,"EML","Emmerson Plc",AMQ1,ASQ1,"-2.78","-2.78",,"-2.78",
740,"EMR","Empresaria Group Plc",AMQ1,ASQ1,6.00,2.30,258.40,2.30,
741,"ENET","Ethernity Networks Ltd",AMQ1,ASQ1,"-6.78","-6.92",1.95,"-6.92",
742,"ENGI","Energiser Investments Plc",AIMP,ASX1,"-0.07","-0.07",,"-0.07",
743,"ENOG","Energean Plc",F25S,STMM,"-67.10","-71.02",367.51,"-71.02",
744,"ENQ","Enquest Plc",SSC5,SSMM,260.60,278.77,936.03,278.77,
745,"ENSI","Ensilica Plc",AMQ1,ASQ1,260.60,278.77,936.03,278.77,
746,"ENT","Entain Plc",FS10,SET1,393.20,224.80,3830.00,249.30,
747,"ENW","Enwell Energy Plc",ASM7,AMSM,49.24,37.80,89.74,37.80,
748,"EOG","Europa Oil & Gas (holdings) Plc",AIMP,ASX1,"-0.84","-0.72",1.37,"-0.72",
749,"EOT","European Opportunities Trust Plc",F25F,STMM,3.25,"-1.55",12.44,2.34,
750,"EPIC","Ediston Property Investment Company Plc",SSC6,SSMM,11.28,1.94,17.37,11.28,
751,"EPO","Earthport Plc",ASM6,AMSM,"-8.42","-8.38",31.86,"-8.38",
752,"EPWN","Epwin Group Plc",AMQ1,ASQ1,12.90,12.50,329.60,12.50,
753,"EQLS","Equals Group Plc",AMQ1,ASQ1,"-3.82","-2.42",44.09,"-2.42",
754,"EQN","Equiniti Group Plc",ON5,SET3,39.80,11.10,555.70,30.80,
755,"EQT","Eqtec Plc",AMQ1,ASQ1,"-3.95","-3.95",7.71,"-3.95",
756,"ERGO","Ergomed Plc",AS50,AMSM,12.63,9.68,86.39,9.68,
757,"ERIS","Erris Resources Plc",AMQ1,ASQ1,"-0.48","-0.45",0.01,"-0.45",
758,"ERM","Euromoney Institutional Investor Plc",ON5,SET3,266.45,"-5.83",336.06,12.64,
759,"ESCT","The European Smaller Companies Trust Plc",F25F,STMM,11.77,"-0.83",13.47,10.39,
760,"ESG","Eservglobal Limited",AIMP,ASX1,"-9.29","-10.05",6.18,"-10.05",
761,"ESKN","Esken Limited",SSC6,SSMM,"-34.57","-27.09",104.63,"-27.09",
762,"ESL","Eddie Stobart Logistics Plc",AMQ1,ASQ1,"-238.94","-249.28",857.53,"-231.22",
763,"ESNT","Essentra Plc",F25F,STMM,33.20,26.90,959.70,26.90,
764,"ESO","Epe Special Opportunities Limited",AMQ1,ASQ1,"-4.55","-4.55",0.00,"-4.55",
765,"ESOZ","Epe Special Zdp",SQS3,SSQ3,"-4.55","-4.55",0.00,"-4.55",
766,"ESP","Empiric Student Property Plc",SSC5,SSMM,29.20,15.61,55.97,29.20,
767,"ESRE","Sirius Real Estate Ld",ON10,SET3,29.20,15.61,55.97,29.20,
768,"EST","East Star Resources Plc",SQS3,SSQ3,"-0.44","-0.44",,"-0.44",
769,"ESYS","Essensys Plc",AMQ1,ASQ1,"-2.93","-3.34",21.98,"-3.34",
770,"ET.","Establishment Investment Trust Plc",SQQ3,SSQ3,1.21,"-0.94",1.56,1.12,
771,"ETO","Entertainment One Ltd.",F25F,STMM,36.80,"-1.70",941.20,11.70,
772,"ETP","Eneraqua Technologies Plc",AMQ1,ASQ1,4.07,4.06,36.18,4.06,
773,"ETX","E-therapeutics Plc",ASM7,AMSM,"-9.52","-8.07",0.48,"-8.07",
774,"EUA","Eurasia Mining Plc",AMQ1,ASQ1,"-3.14","-3.14",2.33,"-3.14",
775,"EUSP","Eu Supply Plc",AMQ1,ASQ1,0.36,0.40,5.14,0.40,
776,"EUT","The European Investment Trust Plc",SSC6,SSMM,13.42,1.40,14.52,12.61,
777,"EUZ","Europa Metals Ltd",AMQ1,ASQ1,"-2.36","-2.63",,"-2.63",
778,"EVE","Esr 2022 Plc",AMQ1,ASQ1,"-3.41","-3.05",26.59,"-3.05",
779,"EVG","Evgen Pharma Plc",AMQ1,ASQ1,"-3.17","-2.73",,"-2.73",
780,"EVR","Evraz Plc",ON10,SET3,3232.23,1111.43,9972.53,2243.56,
781,"EVRH","Evr Holdings Plc",AMQ1,ASQ1,"-11.39","-11.27",1.18,"-11.27",
782,"EVST","Everest Global Plc",SQS3,SSQ3,"-11.39","-11.27",1.18,"-11.27",
783,"EWI","Edinburgh Worldwide Investment Trust Plc",F25T,STMM,"-2.37","-2.42",0.83,"-2.42",
784,"EXI","Exillon Energy Plc",ON25,SET3,48.66,35.28,101.30,35.28,
785,"EXPN","Experian Plc",FE10,SET1,1100.68,546.92,4783.04,886.17,
786,"EXR","Engage Xr Holdings Plc",AMQ1,ASQ1,"-2.63","-2.63",2.01,"-2.63",
787,"EYE","Eagle Eye Solutions Group Plc",AMQ1,ASQ1,0.13,"-0.06",22.80,"-0.06",
788,"EZH","Easyhotel Plc",AMQ1,ASQ1,"-3.57","-4.24",47.65,"-3.91",
789,"EZHA","Easyhotel.assd",AIMN,ASXN,"-3.57","-4.24",47.65,"-3.91",
790,"EZJ","Easyjet Plc",F25T,STMM,"-1036.00","-858.00",1458.00,"-858.00",
791,"FA.","Fireangel Safety Technology Group Plc",AMQ1,ASQ1,"-3.71","-3.28",43.47,"-3.28",
792,"FAB","Fusion Antibodies Plc",AMQ1,ASQ1,"-1.26","-2.90",4.17,"-2.90",
793,"FAN","Volution Group Plc",F25T,STMM,30.03,17.07,272.59,20.84,
794,"FAR","Ferro-alloy Resources Limited",SQS3,SSQ3,"-2.88","-2.88",1.68,"-2.88",
795,"FARN","Faron Pharmaceuticals Oy",AMQ1,ASQ1,"-17.81","-17.82",,"-17.82",
796,"FAS","Fidelity Asian Values Plc",SSC5,SSMM,7.51,,10.84,6.74,
797,"FASS","Fidelity Asian Values Plc",SQS3,SSQ3,7.51,,10.84,6.74,
798,"FBH","Fbd Holdings Plc",SQQ3,SSQ3,110.44,96.41,386.66,96.41,
799,"FCAP","Finncap Group Plc",AMQ1,ASQ1,8.11,3.87,52.55,6.51,
800,"FCCN","French Connection Group Plc",ON10,SET3,"-19.70","-19.70",71.50,"-19.70",
801,"FCH","Funding Circle Holdings Plc",SSC5,SSMM,64.10,61.20,206.90,61.20,
802,"FCIF","Funding Circle Sme Income Fund Limited",SSC6,SSMM,17.24,6.02,,17.24,
803,"FCIT","F&c Investment Trust Plc",FS10,SET1,66.24,"-7.08",77.63,58.50,
804,"FCM","First Class Metals Plc",SQS3,SSQ3,66.24,"-7.08",77.63,58.50,
805,"FCPT","F&c Commercial Property Trust Limited",F25F,STMM,37.91,"-11.20",66.39,36.76,
806,"FCRM","Fulcrum Utility Services Ld",AMQ1,ASQ1,"-14.19","-13.42",61.85,"-13.42",
807,"FCS","Falanx Cyber Security Limited",AMQ1,ASQ1,10.13,2.12,12.34,9.45,
808,"FCSS","Fidelity China Special Situations Plc",F25F,STMM,34.23,8.93,41.27,33.05,
809,"FDBK","Feedback Plc",AIMP,ASX1,"-2.06","-1.62",0.29,"-1.62",
810,"FDEV","Frontier Developments Plc",ASM6,AMSM,16.22,15.89,76.09,15.89,
811,"FDI","Firestone Diamonds Plc",AIMP,ASX1,"-39.79","-34.71",45.09,"-34.71",
812,"FDL","Findel Plc",SSC5,SSMM,33.51,26.71,506.81,26.71,
813,"FDM","Fdm Group (holdings) Plc",F25S,STMM,41.42,"-14.99",267.36,31.83,
814,"FDP","Fd Technologies Public Limited Company",AS50,AMSM,9.00,6.43,263.46,6.43,
815,"FEET","Fundsmith Emerging Equities Trust Plc",ON10,SET3,0.68,"-0.38",5.63,0.15,
816,"FEML","Fidelity Emerging Markets Limited",F25F,STMM,339.24,320.21,,335.14,
817,"FEN","Frenkel Topping Group Plc",AIMP,ASX1,2.69,0.78,18.37,2.34,
818,"FERG","Ferguson Plc",SMEU,SSMU,1360.09,339.48,16392.99,1084.62,
819,"FEV","Fidelity European Trust Plc",F25F,STMM,34.40,3.91,37.88,30.85,
820,"FEVR","Fevertree Drinks Plc",AS50,AMSM,55.60,26.20,311.10,44.60,
821,"FFI","Ffi Holdings Plc",AMQ1,ASQ1,3.76,1.02,42.02,1.02,
822,"FFIA","Ffi.assd.cash",AIMN,ASXN,3.76,1.02,42.02,1.02,
823,"FFX","Fairfx Group Plc",AMQ1,ASQ1,2.08,2.62,26.09,2.62,
824,"FGP","Firstgroup Plc",F25S,STMM,"-17.70",636.40,4591.10,636.40,
825,"FGT","Finsbury Growth & Income Trust Plc",F25F,STMM,41.27,3.79,46.11,40.42,
826,"FHP","Fandango Holdings Plc",SQS3,SSQ3,"-0.50","-0.50",,"-0.50",
827,"FIF","Finsbury Food Group Plc",AMQ1,ASQ1,17.01,13.64,313.26,13.64,
828,"FIH","Fih Group Plc",AIMP,ASX1,1.98,0.95,40.32,0.95,
829,"FIN","Finablr Plc",OL25,SET3,"-34.73","-96.77",1124.96,"-30.50",
830,"FINA","Fintech Asia Limited",SQS3,SSQ3,"-34.73","-96.77",1124.96,"-30.50",
831,"FINS","Financials Acquisition Corp",SMEV,SSMU,"-34.73","-96.77",1124.96,"-30.50",
832,"FIPP","Frontier Ip Group Plc",AMQ1,ASQ1,10.24,9.57,0.36,9.57,
833,"FJET","Fastjet Plc",AIMP,ASX1,"-45.36","-51.00",30.20,"-51.00",
834,"FJV","Fidelity Japan Trust Plc",SSC6,SSMM,0.66,0.40,2.91,0.40,
835,"FKE","Fiske Plc",AIMP,ASX1,0.61,0.57,6.10,0.57,
836,"FLK","Fletcher King Plc",AMQ1,ASQ1,"-0.83","-0.73",2.26,"-0.69",
837,"FLO","Flowtech Fluidpower Plc",ASM7,AMSM,2.88,2.14,109.11,2.14,
838,"FLTA","Filta Group Holdings Plc",AMQ1,ASQ1,"-0.87","-1.01",16.40,"-1.01",
839,"FLTB","Filta Group Holdings Plc",AIMN,ASXN,"-0.87","-1.01",16.40,"-1.01",
840,"FLTR","Flutter Entertainment Plc",FE10,SET1,"-242.53","-349.67",5076.21,"-349.67",
841,"FLX","Falanx Group Limited",AMQ1,ASQ1,"-3.55","-3.55",5.24,"-3.55",
842,"FME","Future Metals Nl",AMQ1,ASQ1,"-3.55","-3.55",5.24,"-3.55",
843,"FMET","Fulcrum Metals Plc",AMQ1,ASQ1,"-3.55","-3.55",5.24,"-3.55",
844,"FNTL","Fintel Plc",ASM6,AMSM,19.90,11.60,63.90,15.40,
845,"FNX","Fonix Mobile Plc",AMQ1,ASQ1,7.40,6.06,47.67,6.06,
846,"FOG","Falcon Oil & Gas Ltd.",AMQ1,ASQ1,"-3.47","-3.47",0.00,"-3.47",
847,"FOOA","Foot.assd.cash",AIMN,ASXN,"-3.47","-3.47",0.00,"-3.47",
848,"FOOT","Footasylum Plc",AMQ1,ASQ1,1.94,0.16,194.77,0.16,
849,"FORT","Forterra Plc",SSC5,SSMM,56.80,31.80,370.40,45.50,
850,"FOUR","4imprint Group Plc",F25T,STMM,22.35,16.70,582.20,16.70,
851,"FOX","Fox Marble Holdings Plc",AMQ1,ASQ1,"-1.90","-1.90",0.65,"-1.90",
852,"FOXT","Foxtons Group Plc",SSC5,SSMM,5.55,"-6.17",126.47,"-6.17",
853,"FPO","First Property Group Plc",AIMP,ASX1,7.08,6.50,8.64,6.78,
854,"FPP","Fragrant Prosperity Holdings Limited",SQS3,SSQ3,"-0.24","-0.24",,"-0.24",
855,"FRAN","Franchise Brands Plc",AMQ1,ASQ1,5.78,4.23,57.69,4.23,
856,"FRAS","Frasers Group Plc",FS10,SET1,366.10,290.20,47469.00,290.20,
857,"FRES","Fresnillo Plc",FS10,SET1,452.21,129.89,1998.86,311.47,
858,"FRG","Firering Strategic Minerals Plc",AMQ1,ASQ1,"-1.94","-1.91",,"-1.91",
859,"FRP","Frp Advisory Group Plc",AMQ1,ASQ1,15.12,11.91,95.16,11.91,
860,"FSF","Foresight Sustainable Forestry Company Plc",SSC6,SSMM,15.12,11.91,95.16,11.91,
861,"FSFL","Foresight Solar Fund Limited",F25T,STMM,117.89,77.84,38.07,117.89,
862,"FSG","Foresight Group Holdings Limited",SSC5,SSMM,27.87,25.08,86.07,25.08,
863,"FSJ","Fisher (james) & Sons Plc",SSC4,SSMM,"-29.00",,494.10,"-27.80",
864,"FST","Frontier Smart Technologies Group Limited",AIMP,ASX1,"-2.58","-2.32",32.74,"-2.32",
865,"FSTA","Fuller Smith & Turner Plc",SSC5,SSMM,11.50,7.10,253.80,7.10,
866,"FSV","Fidelity Special Values Plc",F25T,STMM,22.00,4.21,,21.60,
867,"FTC","Filtronic Plc",AMQ1,ASQ1,1.89,1.47,17.05,1.47,
868,"FTF","Foresight Enterprise Vct Plc",SQQ3,SSQ3,0.18,"-6.97",1.41,0.18,
869,"FTSV","Foresight Solar & Technology Vct Plc",SQQ3,SSQ3,0.46,0.46,0.90,0.46,
870,"FTV","Foresight Vct Plc",SQQ3,SSQ3,0.58,"-4.99",1.84,0.58,
871,"FUL","The Fulham Shore Plc",AMQ1,ASQ1,3.87,3.66,82.70,3.66,
872,"FUM","Futura Medical Plc",ASM6,AMSM,"-5.87","-4.96",,"-4.96",
873,"FUTR","Future Plc",F25T,STMM,107.80,66.10,606.80,66.10,
874,"FWD","Forward Partners Group Plc",AMQ1,ASQ1,16.48,16.48,28.21,16.48,
875,"FWT","Foresight Solar & Technology Vct Plc",SQQ3,SSQ3,16.48,16.48,28.21,16.48,
876,"FXPO","Ferrexpo Plc",F25F,STMM,791.96,186.06,1862.16,644.07,
877,"G3E","G3 Exploration Limited",SMEV,SSMU,"-16.47","-28.96",,"-28.96",
878,"G4M","Gear4music (holdings) Plc",AMQ1,ASQ1,5.01,3.72,147.63,3.72,
879,"GABI","Gcp Asset Backed Income Fund Limited",SSC5,SSMM,14.97,"-12.74",32.93,14.97,
880,"GACA","Gen.acc.8se.pf",SQS3,SSQ3,14.97,"-12.74",32.93,14.97,
881,"GACB","Gen.acc.7se.pf",SQS3,SSQ3,14.97,"-12.74",32.93,14.97,
882,"GAL","Galantas Gold Corporation",AIMP,ASX1,"-3.09","-3.09",,"-3.09",
883,"GAMA","Gamma Communications Plc",AE50,AMSM,67.20,41.90,447.70,53.60,
884,"GATC","Gattaca Plc",AMQ1,ASQ1,2.20,0.58,415.73,0.58,
885,"GAW","Games Workshop Group Plc",F25F,STMM,156.50,34.90,386.80,128.40,
886,"GBG","Gb Group Plc",AS50,AMSM,21.65,8.59,242.48,15.26,
887,"GBP","Global Petroleum Limited",AIMP,ASX1,"-2.84","-2.84",,"-2.84",
888,"GCAT","Caracal Gold Plc",SQS3,SSQ3,"-8.41","-8.41",4.43,"-8.41",
889,"GCG","Golden Rock Global Plc",SQS3,SSQ3,"-0.09","-0.09",,"-0.09",
890,"GCL","Geiger Counter Limited",SQNL,SSX3,"-0.46","-0.47",0.12,"-0.47",
891,"GCM","Gcm Resources Plc",AMQ1,ASQ1,"-1.87","-1.87",,"-1.87",
892,"GCP","Gcp Infrastructure Investments Limited",F25F,STMM,62.36,2.07,,62.36,
893,"GCS","Geiger Counter Limited",SQNL,SSX3,"-0.24","-0.24",0.11,"-0.24",
894,"GDP","Goldplat Plc",AIMP,ASX1,"-1.97",2.13,24.81,2.13,
895,"GDR","Genedrive Plc",AMQ1,ASQ1,"-1.85","-0.69",0.69,"-0.69",
896,"GDWN","Goodwin Plc",ON15,SET3,19.94,5.12,144.11,12.98,
897,"GELN","Gelion Plc",AMQ1,ASQ1,19.94,5.12,144.11,12.98,
898,"GEM","Gemfields Group Limited",AMQ1,ASQ1,104.42,50.73,257.71,50.73,
899,"GEMD","Gem Diamonds Limited",ON10,SET3,34.51,8.34,149.27,10.92,
900,"GEN","Genuit Group Plc",F25F,STMM,62.90,41.00,594.30,41.00,
901,"GENF","Genflow Biosciences Plc",SQS3,SSQ3,62.90,41.00,594.30,41.00,
902,"GENI","Genincode Plc",AMQ1,ASQ1,"-4.14","-4.07",1.15,"-4.07",
903,"GENL","Genel Energy Plc",SMEU,SSMU,"-227.61","-260.59",247.65,"-227.76",
904,"GEO","Georgian Mining Corporation",AMQ1,ASQ1,"-8.79","-8.77",0.21,"-8.77",
905,"GETB","Getbusy Plc",AMQ1,ASQ1,"-2.34","-2.34",15.45,"-2.34",
906,"GFHG","Grand Fortune High Grade Limited",SQS3,SSQ3,"-0.40","-0.40",,"-0.40",
